Author,Feature,Model,Accuracy,Precision,Recall,F1
COzdemir,TFIDF_Char_3gram,XGBoost,0.825,0.6363636363636364,0.875,0.7368421052631579
COzdemir,TFIDF_Word_2gram,DecisionTree,0.2125,0.2,0.125,0.15384615384615385
COzdemir,TFIDF_Word_2gram,MLP,0.5708333333333333,0.75,0.75,0.75
COzdemir,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5833333333333334,0.875,0.7
COzdemir,TFIDF_Word_2gram,RandomForest,0.45,0.5454545454545454,0.75,0.631578947368421
COzdemir,TFIDF_Word_2gram,SVM,0.5333333333333333,0.8571428571428571,0.75,0.8
COzdemir,TFIDF_Word_2gram,XGBoost,0.425,0.5555555555555556,0.625,0.5882352941176471
COzdemir,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.25,0.25,0.25
COzdemir,TFIDF_Word_3gram,MLP,0.275,0.5,0.25,0.3333333333333333
COzdemir,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.3,0.375,0.3333333333333333
COzdemir,TFIDF_Word_3gram,RandomForest,0.2625,0.5,0.25,0.3333333333333333
COzdemir,TFIDF_Word_3gram,SVM,0.3125,0.375,0.375,0.375
COzdemir,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.4,0.25,0.3076923076923077
DCundioglu,BERT,DecisionTree,0.25416666666666665,0.6,0.375,0.46153846153846156
DCundioglu,BERT,MLP,0.6041666666666666,0.75,0.75,0.75
DCundioglu,BERT,RandomForest,0.5083333333333333,0.625,0.625,0.625
DCundioglu,BERT,SVM,0.4125,1.0,0.625,0.7692307692307693
DCundioglu,BERT,XGBoost,0.4791666666666667,0.75,0.75,0.75
DCundioglu,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.7272727272727273,1.0,0.8421052631578947
DCundioglu,TFIDF_Char_2gram,MLP,0.9083333333333333,1.0,1.0,1.0
DCundioglu,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,0.875,0.9333333333333333
DCundioglu,TFIDF_Char_2gram,RandomForest,0.8666666666666667,1.0,0.875,0.9333333333333333
DCundioglu,TFIDF_Char_2gram,SVM,0.9,1.0,1.0,1.0
DCundioglu,TFIDF_Char_2gram,XGBoost,0.8708333333333333,1.0,1.0,1.0
DCundioglu,TFIDF_Char_3gram,DecisionTree,0.5,1.0,0.875,0.9333333333333333
DCundioglu,TFIDF_Char_3gram,MLP,0.9083333333333333,1.0,1.0,1.0
